filename,ID,frame,centroidX,centroidY,label
bumblebox-9_2026-03-13_19_20_03,60,50,883.75,524.0,neighbor
bumblebox-9_2026-03-13_19_20_03,60,51,3272.25,1530.0,jump
bumblebox-9_2026-03-13_19_20_03,60,52,882.25,519.0,neighbor
bumblebox-9_2026-03-13_20_30_03,32,7,2642.75,1372.25,neighbor
bumblebox-9_2026-03-13_20_30_03,32,8,3401.75,17.0,jump
bumblebox-9_2026-03-13_20_30_03,32,9,2642.5,1372.0,neighbor
bumblebox-9_2026-03-13_23_20_03,42,22,3162.25,2540.5,neighbor
bumblebox-9_2026-03-13_23_20_03,42,23,2900.75,336.25,jump
bumblebox-9_2026-03-13_23_20_03,42,24,3162.5,2539.75,neighbor
bumblebox-9_2026-03-14_02_50_03,10,25,604.25,2240.25,neighbor
bumblebox-9_2026-03-14_02_50_03,10,26,2996.75,1246.5,jump
bumblebox-9_2026-03-14_02_50_03,10,27,604.25,2240.25,neighbor
